date,open_rate
2021/8/20,46726.75
2021/8/21,49339.23
2021/8/22,48886.05
2021/8/23,49325.93
2021/8/24,49478.93
2021/8/25,47783.42
2021/8/26,48989.81
2021/8/27,46758.49
2021/8/28,49103.85
2021/8/29,48961
2021/8/30,48779.29
2021/8/31,46935.41
2021/9/1,47071.49
2021/9/2,48876.07
2021/9/3,49275.08
2021/9/4,49933.13
2021/9/5,49923.39
2021/9/6,51796.18
2021/9/7,52701.19
2021/9/8,46944.01
2021/9/9,46013.3
2021/9/10,46408.75
2021/9/11,44898.97
2021/9/12,45144.03
2021/9/13,46130.69
2021/9/14,44971.45
2021/9/15,47086.64
2021/9/16,48109.85
2021/9/17,47771.85
2021/9/18,47332.19
2021/9/19,48295.38
2021/9/20,47272.25
2021/9/21,42965.22
2021/9/22,40706.29
2021/9/23,43549.38
2021/9/24,44893.99
2021/9/25,42824.08
2021/9/26,42686.34
2021/9/27,43140.5
2021/9/28,42209.05
2021/9/29,41000.44
2021/9/30,41529.81
2021/10/1,43830.2
2021/10/2,48142.18
2021/10/3,47689.63
2021/10/4,48185.41
2021/10/5,49238.29
2021/10/6,51439.55
2021/10/7,55286.83
2021/10/8,53836.54
2021/10/9,53977.65
2021/10/10,54984.57
2021/10/11,54653.85
2021/10/12,57441.51
2021/10/13,56027.66
2021/10/14,57372.35
2021/10/15,57327.55
2021/10/16,61691.01
2021/10/17,60878.09
2021/10/18,61551.03
2021/10/19,62034.75
2021/10/20,64341.19
2021/10/21,65995.01
2021/10/22,62158.24
2021/10/23,60671.74
2021/10/24,61304.32
2021/10/25,60895.88
2021/10/26,63099.81
2021/10/27,60343.16
2021/10/28,58522.94
2021/10/29,60591.67
2021/10/30,62306.1
2021/10/31,62068.53
2021/11/1,61348.73
2021/11/2,60946.16
2021/11/3,63367.13
2021/11/4,62947.47
2021/11/5,61507.26
2021/11/6,61007.77
2021/11/7,61536.41
2021/11/8,63430.77
2021/11/9,67513.77
2021/11/10,66969.88
2021/11/11,64888.07
2021/11/12,64816.22
2021/11/13,64169.66
2021/11/14,64494.13
2021/11/15,65753.75
2021/11/16,63442.03
2021/11/17,60136.4
2021/11/18,60344.8
2021/11/19,57059.62
2021/11/20,58182.82
2021/11/21,59775.24
2021/11/22,58748.21
2021/11/23,56282.04
2021/11/24,57564.01
2021/11/25,57172.49
2021/11/26,58933.69
2021/11/27,53692.83
2021/11/28,54772.27
2021/11/29,57260.28
2021/11/30,57829.53
2021/12/1,56994.42
2021/12/2,57215.88
2021/12/3,56519.03
2021/12/4,53602.83
2021/12/5,49309.62
2021/12/6,49561.24
2021/12/7,50612.06
2021/12/8,50647.03
2021/12/9,50506.38
2021/12/10,47635.71
2021/12/11,47164.36
2021/12/12,49392.08
2021/12/13,50125
2021/12/14,46738.8
2021/12/15,48388.76
2021/12/16,48866.23
2021/12/17,47649.07
2021/12/18,46151.2
2021/12/19,46850
2021/12/20,46693.58
2021/12/21,46892.2
2021/12/22,48915.29
2021/12/23,48608.67
2021/12/24,50781.24
2021/12/25,50810.52
2021/12/26,50434.03
2021/12/27,50803.91
2021/12/28,50706.26
2021/12/29,47546.08
2021/12/30,46415.57
2021/12/31,47142.59
